Command,Finished,Error,Burst Time,Turnaround Time,Waiting Time,Response Time
./dummy_p 2,Yes,No,2003,2003,0,0
./dummy_p 1,Yes,No,1003,1003,0,0
./dummy_p 1,Yes,No,1003,1003,0,0
./dummy_p 2,Yes,No,2002,2002,0,1005
./dummy_p 2,Yes,No,2003,2003,0,3009
